ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
136,"NORTHEAST","NEW NORTHWOOD","NEW NORTHWOOD Baltimore MD",39.348268,-76.5965,326,66,4972,134,4677,7,30,1,46,77,102,2272,2700,286,313,154,231,1013,611,529,1148,687,1174,467,123,107,41,600,264,2092,1940,959,981,152,73,24,55
137,"SOUTHERN","NEW SOUTHWEST/MOUNT CLARE","NEW SOUTHWESTMOUNT CLARE Baltimore MD",39.28706,-76.639783,281,121,2313,764,1190,27,67,0,165,100,267,1143,1170,224,260,109,112,260,361,305,528,154,456,148,76,97,33,211,123,1141,751,257,494,390,46,49,295
138,"NORTHEAST","NORTH HARFORD ROAD","NORTH HARFORD ROAD Baltimore MD",39.366969,-76.538708,189,35,5380,3437,1672,13,50,2,99,107,251,2583,2797,356,429,160,171,442,808,842,1487,685,1352,875,353,138,50,339,153,2421,2221,1780,441,200,63,51,86
139,"NORTHERN","NORTH ROLAND PARK/POPLAR HILL","NORTH ROLAND PARKPOPLAR HILL Baltimore MD",39.366058,-76.639827,33,23,1450,992,169,1,262,0,1,25,19,708,742,70,100,57,58,106,170,196,440,253,364,310,123,10,5,44,29,663,620,361,259,43,13,10,20
140,"SOUTHWEST","NORTHWEST COMMUNITY","NORTHWEST COMMUNITY Baltimore MD",39.305924,-76.665095,245,129,1896,18,1823,5,0,0,3,47,25,846,1050,129,199,92,86,226,196,233,508,227,415,110,39,52,13,253,116,782,616,326,290,166,39,11,116
141,"NORTHERN","OAKENSHAWE","OAKENSHAWE Baltimore MD",39.329908,-76.613833,81,71,1144,823,130,2,134,1,18,36,50,604,540,49,53,18,15,280,218,169,249,93,180,132,55,16,7,32,14,575,505,262,243,70,30,17,23
142,"SOUTHWEST","OAKLEE","OAKLEE Baltimore MD",39.268376,-76.684944,59,78,754,445,241,4,27,1,12,24,41,364,390,41,60,14,9,101,185,98,182,64,163,79,28,29,13,55,21,405,384,107,277,21,15,2,4
143,"SOUTHEAST","ODONNELL HEIGHTS","ODONNELL HEIGHTS Baltimore MD",39.278122,-76.541598,81,106,763,80,653,1,0,0,6,23,37,273,490,115,134,45,47,85,111,65,123,38,206,13,6,8,2,185,130,289,275,6,269,14,2,3,9
144,"EASTERN","OLDTOWN","OLDTOWN Baltimore MD",39.297418,-76.603,352,132,2658,35,2535,2,38,1,3,44,11,1068,1590,286,367,110,129,232,405,243,636,250,632,102,31,49,21,481,335,1231,1177,168,1009,54,28,9,17
145,"EASTERN","OLIVER","OLIVER Baltimore MD",39.307831,-76.599389,577,139,4153,55,4016,6,11,1,8,56,39,1896,2257,302,342,172,228,460,455,460,1210,524,932,189,62,132,39,611,281,2514,1591,594,997,923,111,39,773
146,"EASTERN","ORANGEVILLE","ORANGEVILLE Baltimore MD",39.298718,-76.549687,107,530,202,145,25,2,1,1,17,11,23,99,103,15,11,8,4,24,27,29,55,29,44,30,11,6,1,8,4,101,85,62,23,16,2,7,7
147,"NORTHEAST","ORIGINAL NORTHWOOD","ORIGINAL NORTHWOOD Baltimore MD",39.340625,-76.5965,66,53,1241,465,684,7,14,1,25,45,55,645,596,72,76,29,33,84,186,148,400,213,280,181,70,22,6,77,31,545,518,376,142,27,6,8,13
148,"SOUTHERN","OTTERBEIN","OTTERBEIN Baltimore MD",39.282191,-76.614555,126,69,1823,1406,282,8,78,4,19,26,50,826,997,68,44,10,14,112,323,179,461,612,336,279,61,13,5,44,19,1275,1162,439,723,113,61,10,42
149,"NORTHEAST","OVERLEA","OVERLEA Baltimore MD",39.358969,-76.517786,33,43,774,506,235,3,6,0,13,11,21,381,393,43,59,25,33,43,104,113,251,103,174,101,41,21,3,52,31,324,297,236,61,27,6,7,14
150,"NORTHWEST","PARK CIRCLE","PARK CIRCLE Baltimore MD",39.327643,-76.660042,231,73,3153,65,3006,10,9,1,21,41,44,1463,1690,213,264,125,157,293,341,321,976,463,652,195,69,80,19,377,149,1560,1270,426,844,290,80,35,175
151,"NORTHERN","PARKLANE","PARKLANE Baltimore MD",39.352139,-76.630622,158,77,2049,46,1967,9,7,0,4,16,20,905,1144,176,197,77,92,231,289,215,523,249,509,151,54,64,23,294,154,814,719,324,395,95,36,6,53
152,"NORTHEAST","PARKSIDE","PARKSIDE Baltimore MD",39.326672,-76.564545,182,68,2683,281,2231,10,88,0,14,59,28,1261,1422,178,240,101,110,329,408,369,777,171,694,278,114,74,26,342,165,1190,1113,575,538,77,40,12,25
153,"SOUTHEAST","PATTERSON PLACE","PATTERSON PLACE Baltimore MD",39.293588,-76.58386,197,169,1165,558,413,14,32,1,114,33,270,602,563,78,92,31,35,130,336,200,205,58,223,104,46,32,15,87,44,573,432,211,221,141,55,38,48
154,"NORTHERN","PEN LUCY","PEN LUCY Baltimore MD",39.339089,-76.605167,227,74,3078,152,2838,16,4,3,20,45,43,1383,1695,245,265,117,140,331,455,384,826,315,680,211,75,86,38,383,201,1483,1250,438,812,233,160,24,49
